seqid,ref_seqid,edit_distance,similarity,length,exp
FS10000169:122:BPA73120-0622:1:1103:8420:3800,003761,50,0.5798319327731092,119,PCR1
FS10000169:122:BPA73120-0622:1:1103:3890:3840,004999,72,0.52,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:1740:3900,000165,77,0.4866666666666667,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:4150:3960,005018,56,0.5294117647058824,119,PCR1
FS10000169:122:BPA73120-0622:1:1103:14200:3970,000166,58,0.5084745762711864,118,PCR1
FS10000169:122:BPA73120-0622:1:1103:11730:3930,009336,73,0.5133333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:9840:4050,011890,71,0.5266666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:11680:4080,005018,74,0.5066666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:5560:1050,008181,76,0.4933333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:2710:1060,005071,75,0.5,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:13490:1120,004372,73,0.5133333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1103:4070:4010,001085,58,0.5126050420168067,119,PCR1
FS10000169:122:BPA73120-0622:1:1104:13980:1200,001522,77,0.4866666666666667,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:14090:1100,001377,78,0.48,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:16130:1270,003458,87,0.42000000000000004,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:5260:1230,001200,75,0.5,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:15810:1350,002804,83,0.44666666666666666,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:11720:1440,000377,55,0.5217391304347826,115,PCR1
FS10000169:122:BPA73120-0622:1:1104:12830:1410,004372,76,0.4933333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:12180:1530,009767,95,0.3666666666666667,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:14090:1430,001424,77,0.4866666666666667,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:14830:1560,004008,81,0.45999999999999996,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:13650:1570,007085,73,0.5133333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:15450:1850,001076,84,0.43999999999999995,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:8820:1920,000711,79,0.4733333333333334,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:13810:2040,003944,84,0.43999999999999995,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:1150:2070,005734,75,0.5,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:16340:1990,008243,73,0.5133333333333333,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:8950:2090,005023,80,0.4666666666666667,150,PCR1
FS10000169:122:BPA73120-0622:1:1104:4050:2200,004377,77,0.4866666666666667,150,PCR1
