Text,X,Temperature,X,Acquisitions
4:44,284.73,69.84,,
4:45,285.15,69.84,,
4:45,285.56,69.84,,
4:45,285.97,69.87,,
4:46,286.38,69.87,,
4:46,286.8,69.87,,
4:47,287.21,69.87,,
4:47,287.62,69.87,,
4:48,288.04,69.87,,
4:48,288.45,69.87,,
4:48,288.86,69.87,,
4:49,289.27,69.87,,
4:49,289.69,69.9,,
4:50,290.1,69.87,,
4:50,290.51,69.9,,
4:50,290.92,69.9,,
4:51,291.33,69.87,,
4:51,291.75,69.87,,
4:52,292.16,69.9,,
4:52,292.57,69.9,,
4:52,292.98,69.87,,
4:53,293.4,69.9,,
4:53,293.81,69.9,,
4:54,294.22,69.9,,
4:54,294.63,69.9,,
4:55,295.05,69.9,,
4:55,295.46,69.93,,
4:55,295.87,69.9,,
4:56,296.28,69.9,,
4:56,296.7,69.9,,
4:57,297.11,69.9,,
4:57,297.52,69.9,,
4:57,297.93,69.93,,
4:58,298.35,69.9,,
4:58,298.76,69.93,,
4:59,299.17,69.9,,
4:59,299.59,69.9,,
5:00,300,69.9,,
5:00,300.41,69.93,,
5:00,300.82,69.9,,
5:01,301.24,69.9,,
5:01,301.65,69.93,,
5:02,302.06,69.9,,
5:02,302.47,69.9,,
5:02,302.89,69.93,,
5:03,303.3,69.9,,
5:03,303.71,69.93,,
5:04,304.12,69.93,,
5:04,304.54,69.9,,
5:04,304.95,69.93,,
5:05,305.36,69.93,,
5:05,305.77,69.9,,
5:06,306.18,69.93,,
5:06,306.6,69.9,,
5:07,307.01,69.9,,
5:07,307.42,69.9,,
5:07,307.83,69.9,,
5:08,308.25,69.93,,
5:08,308.66,69.93,,
5:09,309.07,69.9,,
5:09,309.48,69.93,,
5:09,309.9,69.93,,
5:10,310.31,69.93,,
5:10,310.72,69.9,,
5:11,311.14,69.93,,
5:11,311.55,69.93,,
5:11,311.96,69.9,,
5:12,312.37,69.93,,
5:12,312.79,69.93,,
5:13,313.2,69.93,,
5:13,313.61,69.9,,
5:14,314.03,69.93,,
5:14,314.44,69.93,,
5:14,314.85,69.93,,
5:15,315.26,69.9,,
5:15,315.68,69.93,,
5:16,316.09,69.9,,
5:16,316.5,69.93,,
5:16,316.91,69.93,,
5:17,317.33,69.9,,
5:17,317.74,69.93,,
5:18,318.15,69.93,,
5:18,318.56,69.93,,
5:18,318.97,69.93,,
5:19,319.39,69.93,,
5:19,319.8,69.93,,
5:20,320.21,69.93,,
5:20,320.62,69.9,,
5:21,321.04,69.93,,
5:21,321.45,69.93,,
5:21,321.86,69.93,,
5:22,322.27,69.93,,
5:22,322.69,69.9,,
5:23,323.1,69.9,,
5:23,323.51,69.93,,
5:23,323.92,69.93,,
5:24,324.34,69.93,,
5:24,324.75,69.93,,
5:25,325.16,69.93,,
5:25,325.58,69.93,,
5:25,325.99,69.9,,
5:26,326.4,69.93,,
5:26,326.81,69.93,,
5:27,327.23,69.9,,
5:27,327.64,69.93,,
5:28,328.05,69.93,,
5:28,328.47,69.93,,
5:28,328.88,69.93,,
5:29,329.29,69.93,,
5:29,329.7,69.93,,
5:30,330.11,69.9,,
5:30,330.53,69.9,,
5:30,330.94,69.93,,
5:31,331.35,69.93,,
5:31,331.77,69.93,,
5:32,332.18,69.93,,
5:32,332.59,69.93,,
5:33,333,69.93,,
5:33,333.42,69.93,,
5:33,333.83,69.9,,
5:34,334.24,69.93,,
5:34,334.65,69.9,,
5:35,335.07,69.93,,
5:35,335.48,69.93,,
5:35,335.89,69.93,,
5:36,336.3,69.93,,
5:36,336.72,69.9,,
5:37,337.14,69.93,,
5:37,337.55,69.87,,
5:37,337.96,69.7,,
5:38,338.38,69.52,,
5:38,338.79,69.4,,
5:39,339.2,69.39,,
5:39,339.61,69.4,,
5:40,340.03,69.46,,
5:40,340.44,69.52,,
5:40,340.85,69.58,,
5:41,341.26,69.66,,
5:41,341.68,69.73,,
5:42,342.09,69.81,,
5:42,342.5,69.87,,
5:42,342.91,69.93,,
5:43,343.33,69.96,,
