seq_id,PCR1,PCR2
000982,207,482
000983,639,200
000984,133,0
000985,380,493
000986,325,372
000987,362,0
000988,232,189
000989,386,1147
000990,323,356
000991,581,3
000992,303,4
000993,549,134
000994,376,301
000995,421,394
000996,212,62
000997,642,370
000998,411,19
000999,191,234
001000,187,55
001001,537,1604
001002,488,592
001003,665,675
001004,391,255
001005,423,760
001006,343,730
001007,241,53
001008,328,204
001009,429,500
001010,225,76
001011,305,298
001012,367,265
001013,180,237
001014,204,307
001015,272,540
001016,507,643
001017,325,391
001018,330,2
001019,279,931
001020,220,233
001021,185,17
001022,982,309
001023,433,328
001024,622,158
001025,682,1834
001026,704,346
001027,594,801
001028,664,323
001029,458,126
001030,595,1001
001031,1297,780
001032,286,30
001033,315,303
001034,376,64
001035,471,920
001036,304,4
001037,292,249
001038,1076,640
001039,637,183
001040,179,4
001041,260,981
001042,328,149
001043,400,4
001044,662,683
001045,445,264
001046,223,169
001047,645,537
001048,475,21
001049,1373,454
001050,353,798
001051,336,136
001052,451,129
001053,525,316
001054,1641,1107
001055,308,0
001056,642,246
001057,312,163
001058,1258,491
001059,480,141
001060,290,221
001061,371,14
001062,530,140
001063,277,146
001064,981,1006
001065,709,296
001066,637,140
001067,306,620
001068,348,2
001069,240,0
001070,405,1167
001071,368,467
001072,416,113
001073,394,244
001074,55,0
001075,351,853
001076,1292,467
001077,399,243
001078,353,416
001079,348,0
001080,450,12
001081,136,370
001082,405,268
001083,223,793
001084,495,0
001085,300,849
001086,581,32
001087,267,0
001088,564,288
001089,384,13
001090,275,16
001091,225,280
001092,313,529
001093,229,43
001094,450,577
001095,363,0
001096,264,153
001097,329,310
001098,333,268
001099,227,96
001100,142,0
001101,423,625
001102,461,274
001103,423,537
001104,286,273
001105,376,451
001106,189,251
001107,1617,572
001108,448,585
001109,435,398
001110,437,318
001111,841,207
001112,926,1164
001113,175,0
001114,304,270
001115,979,201
001116,391,174
001117,144,323
001118,184,492
001119,283,61
001120,380,610
001121,233,350
001122,375,0
001123,367,0
001124,194,60
001125,297,2492
001126,414,140
001127,498,658
001128,312,0
001129,600,1195
001130,217,474
001131,857,1
001132,90,0
001133,666,903
001134,416,20
001135,316,2
001136,280,264
001137,127,45
001138,372,60
001139,197,46
001140,192,8
001141,913,766
001142,623,552
001143,638,246
001144,130,0
001145,114,75
001146,357,192
001147,128,0
001148,606,238
001149,494,240
001150,566,98
001151,151,2
001152,301,1009
001153,1224,2572
001154,952,233
001155,597,688
001156,321,165
001157,142,92
001158,481,960
001159,276,535
001160,389,43
001161,1792,839
001162,219,0
001163,790,712
001164,949,489
001165,175,26
001166,274,151
001167,364,276
001168,174,0
001169,470,903
001170,368,281
001171,1041,2981
001172,259,124
001173,279,622
001174,294,382
001175,340,12
001176,488,277
001177,704,1207
001178,404,370
001179,364,95
001180,798,662
001181,218,163
001182,596,396
001183,208,399
001184,855,866
001185,479,644
001186,291,26
001187,764,289
001188,386,311
001189,321,147
001190,182,184
001191,311,216
001192,327,1593
001193,221,36
001194,644,517
001195,288,94
001196,238,819
001197,520,512
001198,1015,604
001199,274,1466
001200,313,130
001201,309,99
001202,416,158
001203,512,329
001204,834,582
001205,458,941
001206,159,57
001207,318,1011
001208,352,1301
001209,215,0
001210,122,0
001211,138,4
001212,508,559
001213,301,14
001214,467,173
001215,258,154
001216,349,396
001217,673,772
001218,1060,1115
001219,347,2
001220,259,13
001221,181,131
001222,322,7
001223,256,889
001224,868,538
001225,291,596
001226,739,291
001227,321,188
001228,391,574
001229,398,834
001230,351,0
001231,155,0
001232,420,310
001233,602,262
001234,265,281
001235,592,944
001236,571,150
001237,680,392
001238,459,1124
001239,505,564
001240,207,323
001241,444,47
001242,347,410
001243,298,931
001244,228,14
001245,1317,1399
001246,285,629
001247,308,909
001248,534,110
001249,365,591
001250,566,211
001251,171,189
001252,438,206
001253,342,491
001254,524,71
001255,556,277
001256,528,362
001257,225,16
001258,263,173
001259,480,177
001260,323,121
001261,458,122
001262,380,458
001263,1081,148
001264,320,125
001265,638,648
001266,472,55
001267,819,516
001268,306,61
001269,518,406
001270,293,747
001271,445,63
001272,429,188
001273,229,87
001274,729,194
001275,319,26
001276,229,19
001277,456,147
001278,438,18
001279,247,0
001280,255,0
001281,342,0
001282,492,1183
001283,293,622
001284,209,160
001285,977,614
001286,211,0
001287,266,0
001288,433,1683
001289,455,380
001290,495,917
001291,695,325
001292,325,0
001293,337,98
001294,270,448
001295,166,105
001296,294,5
001297,364,160
001298,325,717
001299,314,290
001300,278,37
001301,520,482
001302,635,567
001303,251,24
001304,557,136
001305,188,1400
001306,152,791
001307,1055,477
001308,183,12
001309,127,0
001310,520,75
001311,285,41
001312,332,906
001313,893,0
001314,178,51
001315,478,406
001316,244,529
001317,612,855
001318,115,237
001319,900,730
001320,204,0
001321,499,88
001322,221,345
001323,200,290
001324,530,1703
001325,197,132
001326,450,346
001327,1369,642
001328,236,35
001329,146,49
001330,365,248
001331,576,452
001332,1152,1097
001333,346,11
001334,883,98
001335,436,409
001336,388,17
001337,603,213
001338,207,129
001339,306,299
001340,192,324
001341,162,141
001342,203,90
001343,283,9
001344,331,2
001345,347,588
001346,636,605
001347,356,513
001348,590,787
001349,398,35
001350,168,624
001351,908,1045
001352,528,1923
001353,473,90
001354,509,79
001355,137,2
001356,250,0
001357,608,690
001358,417,84
001359,322,707
001360,676,1761
001361,544,347
001362,849,214
001363,299,6
001364,381,162
001365,357,474
001366,484,611
001367,237,28
001368,631,463
001369,194,0
001370,827,414
001371,419,895
001372,224,178
001373,442,34
001374,482,1235
001375,600,482
001376,542,345
001377,337,892
001378,452,472
001379,682,2241
001380,236,41
001381,554,52
001382,405,298
001383,215,0
001384,124,86
001385,161,1
001386,422,212
001387,355,0
001388,136,28
001389,479,10
001390,627,1393
001391,850,324
001392,624,633
001393,77,0
001394,544,974
001395,390,277
001396,481,400
001397,433,430
001398,344,394
001399,680,624
001400,1008,1164
001401,264,799
001402,189,919
001403,279,817
001404,469,281
001405,215,471
001406,228,138
001407,157,132
001408,939,744
001409,298,209
001410,237,25
001411,862,1571
001412,201,77
001413,185,181
001414,221,248
001415,547,596
001416,758,317
001417,1034,1282
001418,331,675
001419,212,340
001420,390,66
001421,94,275
001422,325,390
001423,1341,1973
001424,281,34
001425,230,537
001426,348,104
001427,455,136
001428,257,202
001429,391,62
001430,227,18
001431,294,611
001432,354,604
001433,221,420
001434,401,391
001435,1154,390
001436,198,187
001437,411,72
001438,348,8
001439,217,3
001440,597,169
001441,522,362
001442,626,167
001443,621,110
001444,1214,440
001445,711,415
001446,379,20
001447,511,47
001448,196,455
001449,418,596
001450,411,232
001451,486,554
001452,456,0
001453,966,277
001454,952,510
001455,232,1
001456,491,397
001457,240,399
001458,420,313
001459,287,497
001460,491,40
001461,475,1196
001462,419,1706
001463,426,730
001464,462,385
001465,544,136
001466,238,7
001467,1229,2640
001468,362,929
001469,374,156
001470,257,301
001471,692,300
001472,192,14
001473,639,758
001474,268,0
001475,361,480
001476,317,0
001477,411,298
001478,312,1058
001479,234,1329
001480,244,81
001481,357,214
001482,243,68
001483,411,400
001484,443,613
001485,279,78
001486,742,1288
001487,385,1105
001488,140,265
001489,375,914
001490,347,751
001491,1196,686
001492,439,855
001493,580,1842
001494,375,439
001495,431,205
001496,551,252
001497,858,795
001498,298,136
001499,373,18
001500,576,335
001501,99,50
001502,130,1
001503,203,0
001504,346,22
001505,545,101
001506,184,26
001507,451,0
001508,439,453
001509,481,1001
001510,400,608
001511,526,148
001512,231,532
001513,320,22
001514,214,128
001515,714,596
001516,653,12
001517,181,1
001518,799,535
001519,226,63
001520,330,9
001521,272,6
001522,733,167
001523,454,253
001524,404,146
001525,548,92
001526,283,3
001527,535,313
001528,780,142
001529,206,9
001530,442,148
001531,251,0
001532,460,277
001533,526,344
001534,286,20
001535,359,455
001536,408,599
001537,355,629
001538,115,97
001539,450,337
001540,211,146
001541,291,352
001542,177,35
001543,171,50
001544,179,0
001545,372,88
001546,357,20
001547,376,106
001548,142,0
001549,345,0
001550,314,539
001551,1396,870
001552,178,2
001553,728,319
001554,333,2129
001555,612,1747
001556,753,551
001557,763,900
001558,1143,33
001559,210,0
001560,132,13
001561,371,229
001562,436,603
001563,530,753
001564,335,569
001565,393,299
001566,137,29
001567,261,66
001568,441,396
001569,295,0
001570,313,8
001571,445,1197
001572,332,1
001573,122,551
001574,342,491
001575,551,77
001576,469,978
001577,303,4
001578,220,135
001579,595,342
001580,118,82
001581,1106,1732
001582,797,1768
001583,371,26
001584,448,254
001585,217,0
001586,620,831
001587,736,344
001588,559,0
001589,155,103
001590,204,325
001591,312,262
001592,696,566
001593,723,440
001594,462,516
001595,488,631
001596,336,129
001597,1037,1686
001598,182,0
001599,246,6
001600,188,0
001601,479,1121
001602,921,31
001603,227,64
001604,439,239
001605,270,60
001606,399,253
001607,1478,2801
001608,143,169
001609,230,168
001610,523,234
001611,448,130
001612,321,151
001613,352,1064
001614,260,467
001615,1445,805
001616,216,87
001617,213,35
001618,386,0
001619,437,814
001620,237,21
001621,337,520
001622,367,158
001623,627,200
001624,324,0
001625,270,315
001626,344,15
001627,913,1059
001628,295,154
001629,490,1155
001630,726,446
001631,377,0
001632,713,92
001633,489,1655
001634,430,0
001635,190,0
001636,357,195
001637,388,324
001638,636,34
001639,853,1832
001640,805,563
001641,430,358
001642,405,0
001643,160,103
001644,463,298
001645,473,823
001646,557,967
001647,711,192
001648,375,398
001649,273,153
001650,597,255
001651,134,0
001652,372,420
001653,887,309
001654,214,11
001655,192,9
001656,158,186
001657,737,801
001658,468,70
001659,290,405
001660,358,22
001661,544,106
001662,412,388
001663,197,79
001664,215,123
001665,310,39
001666,475,145
001667,512,1155
001668,396,1181
001669,577,1123
001670,286,273
001671,344,3
001672,663,121
001673,555,401
001674,396,251
001675,646,1104
001676,796,354
001677,338,119
001678,522,51
001679,183,76
001680,544,565
001681,409,968
001682,339,515
001683,311,305
001684,978,239
001685,376,197
001686,157,32
001687,964,192
001688,612,485
001689,257,378
001690,472,1463
001691,250,105
001692,280,304
001693,370,149
001694,898,1336
001695,366,618
001696,544,862
001697,168,0
001698,399,17
001699,410,4
001700,1229,2037
001701,213,1064
001702,393,660
001703,963,405
001704,144,0
001705,319,4
001706,499,708
001707,592,1545
001708,410,204
001709,827,1957
001710,348,688
001711,340,483
001712,496,205
001713,479,64
001714,244,14
001715,473,653
001716,644,1887
001717,678,976
001718,704,1111
001719,427,448
