seq_id,true_efficiency,binary_label,pred_efficiency,pred_probability,fold
1087,1.0039217,0,0.9996853,0.5698232627993671,1
1093,1.0035212,0,0.9993638,0.6421541019658326,1
1096,0.99683446,0,0.9991078,0.6997479014133612,1
1098,0.9808402,0,0.99969125,0.5684823128704375,1
1114,0.9981079,0,1.0005414,0.3772092150079116,1
1116,0.99979943,0,0.99951905,0.6072223563172151,1
1121,1.000358,0,1.000593,0.36562340762195944,1
1132,1.0027736,0,0.99922824,0.6726473033496929,1
1133,1.0088485,0,0.9997373,0.5581167699198112,1
1135,1.004737,0,0.99968356,0.5702121382787566,1
1140,1.0048327,0,0.9989667,0.7314881862311261,1
1141,1.0074444,0,1.0003905,0.4111620672084104,1
1142,0.99184257,0,1.0004883,0.38917048837396406,1
1149,0.9976309,0,1.0000938,0.47791455467052857,1
1157,1.0010891,0,1.0006124,0.3612519108536487,1
1158,1.0075747,0,0.9997889,0.5465175530345696,1
1162,0.9968276,0,0.99996275,0.5074020436076917,1
1168,1.006238,0,0.9997515,0.5549253090889585,1
1170,1.0044196,0,0.9999219,0.5165875506208598,1
1173,0.99825686,0,0.99981093,0.54155603829753,1
1181,1.0015081,0,0.99986184,0.5301043259044707,1
1186,0.9995771,0,0.99936277,0.6423820634537507,1
1189,1.0018624,0,0.9999646,0.5069863491297235,1
1193,0.9983233,0,0.9998293,0.5374259125164267,1
1194,0.9977113,0,1.0002364,0.44583903237053124,1
1197,1.0026175,0,0.9996476,0.5782980663502024,1
1199,0.99915797,0,1.0001085,0.47461581784536166,1
1210,0.9990206,0,0.9998319,0.5368358945476976,1
1215,0.9952549,0,1.0005935,0.3654893126290665,1
1221,1.0021955,0,1.000703,0.34086947193391803,1
1223,0.99952173,0,1.000183,0.457853943733741,1
1225,0.99955225,0,1.000374,0.4148899080108349,1
1226,1.002611,0,0.9995043,0.6105345026416713,1
1231,1.0002695,0,1.0006727,0.3476814975728806,1
1235,0.9991209,0,1.000926,0.2906911255933703,1
1237,1.0063854,0,0.9998325,0.5367017995548047,1
1240,1.0013305,0,0.99975336,0.5545096146109905,1
1242,1.002531,0,1.0003023,0.43100812615656936,1
1243,1.0059338,0,0.99876755,0.7762893233566659,1
1248,0.9993688,0,0.99995625,0.508863679030225,1
